,open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_1_code,date,symptom:Adrenal crisis,symptom:Ageusia,symptom:Allergic conjunctivitis,symptom:Amblyopia,symptom:Amenorrhea,symptom:Angular cheilitis,symptom:Anosmia,symptom:Aphonia,symptom:Ascites,symptom:Asphyxia,symptom:Atheroma,symptom:Auditory hallucination,symptom:Balance disorder,symptom:Beau's lines,symptom:Bleeding on probing,symptom:Burning Chest Pain,symptom:Burning mouth syndrome,symptom:Cataplexy,symptom:Chancre,symptom:Chorea,symptom:Cleft lip and cleft palate,symptom:Clouding of consciousness,symptom:Compulsive hoarding,symptom:Crackles,symptom:Crepitus,symptom:Croup,symptom:Cyanosis,symptom:Depersonalization,symptom:Developmental disability,symptom:Dysautonomia,symptom:Dysgeusia,symptom:Dyspareunia,symptom:Dystonia,symptom:Dysuria,symptom:Epiphora,symptom:Esophagitis,symptom:Eye pain,symptom:Facial swelling,symptom:Fecal incontinence,symptom:Fibrocystic breast changes,symptom:Focal seizure,symptom:Gastroparesis,symptom:Generalized tonic–clonic seizure,symptom:Gingival recession,symptom:Globus pharyngis,symptom:Goitre,symptom:Grandiosity,symptom:Granuloma,symptom:Heart murmur,symptom:Hemolysis,symptom:Hemoptysis,symptom:Hepatic encephalopathy,symptom:Hepatotoxicity,symptom:Hydrocephalus,symptom:Hypercalcaemia,symptom:Hypercapnia,symptom:Hyperemesis gravidarum,symptom:Hyperlipidemia,symptom:Hypersomnia,symptom:Hyperventilation,symptom:Hypocalcaemia,symptom:Hypochondriasis,symptom:Hypomania,symptom:Impetigo,symptom:Intermenstrual bleeding,symptom:Kyphosis,symptom:Laryngitis,symptom:Leukorrhea,symptom:Malabsorption,symptom:Male infertility,symptom:Mitral insufficiency,symptom:Muscle atrophy,symptom:Myoclonus,symptom:Nasal polyp,symptom:Neck mass,symptom:Neutropenia,symptom:Night terror,symptom:Nocturnal enuresis,symptom:Nystagmus,symptom:Onychorrhexis,symptom:Osteopenia,symptom:Osteophyte,symptom:Papule,symptom:Paranoia,symptom:Pericarditis,symptom:Petechia,symptom:Photodermatitis,symptom:Photophobia,symptom:Photopsia,symptom:Pleurisy,symptom:Polycythemia,symptom:Polydipsia,symptom:Polyuria,symptom:Postural orthostatic tachycardia syndrome,symptom:Ptosis,symptom:Pulmonary edema,symptom:Rectal pain,symptom:Rectal prolapse,symptom:Renal colic,symptom:Rheum,symptom:Round ligament pain,symptom:Rumination,symptom:Sensitivity to sound,symptom:Shallow breathing,symptom:Spasticity,symptom:Splenomegaly,symptom:Sputum,symptom:Stomach rumble,symptom:Stridor,symptom:Subdural hematoma,symptom:Tachypnea,symptom:Tenderness,symptom:Thyroid nodule,symptom:Trichoptilosis,symptom:Upper respiratory tract infection,symptom:Urethritis,symptom:Urinary urgency,symptom:Vasculitis,symptom:Ventricular fibrillation,symptom:Viral pneumonia,symptom:Yawn,hospitalized_new,hospitalized_cumulative
0,US-AK,US,United States,Alaska,US-AK,2020-03-02,14.62,,,,9.97,,,,,12.46,13.29,8.3,13.62,9.3,8.97,6.64,15.28,12.62,19.1,9.63,10.46,7.64,,,12.46,31.73,12.29,,14.29,7.97,7.97,8.97,15.12,12.29,9.97,8.47,16.78,12.12,17.44,10.3,9.47,11.79,,,,18.27,10.13,15.45,10.96,6.98,11.63,,12.79,10.63,6.64,6.81,8.14,15.45,8.14,11.13,9.47,12.46,,23.09,,13.12,9.47,16.11,13.62,12.29,11.79,10.8,6.64,9.14,12.62,12.12,16.28,14.62,11.63,8.64,17.94,15.28,13.29,12.79,7.31,24.25,,10.8,12.96,,11.79,8.3,9.47,,18.6,9.3,8.14,13.79,13.95,9.8,14.78,6.98,10.46,,7.81,13.29,17.11,9.14,12.46,24.25,14.29,10.8,19.43,12.96,21.76,11.29,,13.29,10.46,14.12,9.3,0.0,0.0
1,US-AK,US,United States,Alaska,US-AK,2020-03-09,10.6,,11.61,,12.79,,7.07,7.91,,13.8,13.97,,15.99,13.29,9.42,,11.11,13.29,18.51,8.92,14.13,,,,,34.33,8.58,,,9.76,8.25,9.26,13.13,14.13,7.57,12.45,10.6,,11.78,12.79,9.93,13.8,,12.12,10.6,10.94,13.63,12.12,12.12,,8.08,8.41,9.42,7.07,11.44,,8.58,11.78,9.76,11.11,9.26,18.68,7.91,17.84,,15.31,12.45,12.45,11.95,10.94,7.07,10.1,7.07,9.42,10.43,18.01,8.75,12.96,12.45,11.61,11.44,13.46,12.45,12.12,,18.34,,9.42,10.6,,11.61,,9.09,,11.11,7.57,7.07,12.28,14.47,13.46,12.28,8.58,10.27,8.08,,11.95,22.72,,13.97,24.06,10.43,12.96,11.11,13.97,46.95,10.27,,9.26,,18.85,10.77,0.0,0.0
2,US-AK,US,United States,Alaska,US-AK,2020-03-16,11.69,,6.39,,,,15.59,7.95,,11.07,11.85,,9.82,9.97,10.75,9.51,8.42,9.2,18.08,9.51,9.35,,,8.57,,48.0,10.29,7.64,12.16,8.73,8.88,13.09,9.35,12.16,7.17,10.75,10.13,7.17,10.13,7.64,10.44,12.0,,,12.31,9.66,9.04,12.31,10.91,8.1,9.2,,9.35,11.07,8.88,,6.39,8.73,,8.88,8.1,22.29,11.22,15.27,,10.75,15.9,14.49,7.01,7.79,7.64,12.0,,9.2,,10.44,,10.13,6.23,12.0,,7.01,8.26,10.13,7.64,,,7.64,12.47,,10.6,,7.48,,,9.04,7.33,11.07,12.0,11.22,11.53,11.85,,10.91,7.95,8.88,28.68,9.82,12.94,8.88,9.2,11.22,14.49,9.04,78.71,12.0,,11.53,,24.94,14.34,0.0,0.0
3,US-AK,US,United States,Alaska,US-AK,2020-03-23,11.15,16.57,,,9.53,,45.17,,,9.39,11.44,6.45,9.97,11.15,9.68,14.08,8.65,11.44,14.67,15.99,10.85,,,8.36,,36.96,8.8,,9.09,7.19,15.99,7.77,11.15,12.47,14.96,7.77,14.08,8.36,9.09,11.0,5.87,6.31,,5.87,13.35,10.12,12.47,13.2,11.73,15.55,7.63,,7.04,13.35,6.45,7.77,8.65,6.75,,12.17,8.21,18.77,10.71,13.93,,9.68,7.04,8.8,11.15,5.87,6.75,8.8,,7.33,12.91,8.65,7.04,8.51,6.89,10.85,7.33,11.73,13.2,12.47,13.79,14.67,,9.53,10.12,,9.97,,9.09,,7.63,8.21,6.31,10.41,12.32,11.0,12.32,11.44,11.15,9.24,9.53,11.59,29.62,7.33,10.85,9.97,11.88,10.41,7.63,8.36,37.54,8.8,,6.75,7.04,13.79,15.69,6.0,18.0
4,US-AK,US,United States,Alaska,US-AK,2020-03-30,8.96,8.96,7.11,,8.53,,19.05,,,11.94,7.54,6.54,10.95,12.51,8.11,8.53,10.24,12.37,17.35,11.66,9.95,6.68,,,,25.17,10.95,9.81,7.39,,13.79,7.25,,8.96,7.82,10.95,17.2,6.97,11.8,8.39,6.11,5.83,,8.82,12.37,7.39,10.24,8.82,8.82,7.82,7.96,9.1,10.66,,6.83,10.1,7.82,11.09,8.11,16.21,9.81,17.35,12.94,12.09,,10.66,,9.95,12.8,11.38,6.68,9.1,5.69,8.67,6.11,7.96,7.39,13.08,8.82,10.24,7.68,,11.94,14.79,10.1,15.07,,8.53,10.24,,8.39,8.11,,,6.83,10.38,,9.81,12.09,,12.65,9.1,7.39,10.81,,7.82,24.32,6.4,12.51,6.97,12.94,9.95,9.38,14.79,24.46,9.81,7.96,7.54,7.11,8.82,17.63,14.0,83.0
5,US-AK,US,United States,Alaska,US-AK,2020-04-06,10.08,7.35,,,10.8,7.06,6.77,,,9.65,11.52,,10.8,9.65,13.11,7.2,9.22,,13.83,15.85,10.08,,,7.2,,15.99,12.53,7.06,8.07,,11.38,8.07,9.07,12.82,,14.55,12.82,5.91,10.8,6.77,8.36,11.96,,6.34,12.1,11.38,12.1,9.65,17.43,8.79,6.48,7.2,10.52,9.36,7.92,9.51,7.49,7.63,9.22,11.81,9.65,8.79,12.53,11.52,,12.53,5.76,12.24,9.79,7.49,,7.92,,9.51,7.2,7.06,8.79,9.22,9.51,5.76,9.51,7.35,6.48,9.94,8.93,9.65,,9.51,13.97,,12.68,6.19,5.76,,9.94,9.36,10.37,10.52,10.66,8.21,11.52,9.07,7.49,7.06,7.2,10.08,17.0,10.23,,8.5,9.65,9.22,8.64,13.83,16.28,10.08,,11.09,,9.07,14.12,11.0,190.0
6,US-AK,US,United States,Alaska,US-AK,2020-04-13,6.24,,,,7.94,6.52,10.64,,,10.5,8.65,9.5,8.79,11.77,9.22,7.8,11.21,9.64,16.74,10.78,9.36,8.94,,7.23,7.94,14.32,9.5,13.9,8.23,,7.8,10.78,11.49,9.64,,8.37,11.77,10.21,9.93,7.38,10.35,10.21,,11.77,9.08,13.19,11.91,13.62,8.37,8.94,7.38,6.24,8.79,8.51,6.67,7.09,11.77,8.09,11.21,11.63,10.5,10.07,12.34,11.77,,6.24,,10.21,12.06,9.5,,8.65,7.8,,8.79,8.37,8.51,10.78,11.35,12.48,8.51,8.51,6.81,15.18,9.79,9.93,,,14.75,,6.81,,10.35,,10.5,12.34,,13.47,12.91,7.94,13.9,7.38,9.93,6.81,9.36,10.78,18.01,6.38,,7.38,8.23,11.21,14.32,12.91,15.74,8.37,,7.52,,,18.01,5.0,241.0
7,US-AK,US,United States,Alaska,US-AK,2020-04-20,7.4,,6.24,,11.9,,,,,9.14,13.06,9.87,11.9,10.89,9.58,7.69,9.87,7.69,12.63,8.71,13.06,5.95,,6.39,11.03,10.74,9.43,9.43,10.16,,6.53,13.64,14.22,11.03,8.13,6.1,16.84,9.43,15.24,9.58,8.13,9.43,,10.6,11.03,9.29,14.8,7.55,12.19,8.42,,,6.82,,7.84,5.81,11.76,8.56,6.97,14.95,12.19,10.74,11.32,16.98,,12.77,,10.02,12.63,11.76,6.39,14.51,,9.72,8.85,10.6,10.6,12.19,11.61,10.89,10.6,7.55,12.92,14.22,13.79,11.9,,,5.81,,10.02,,10.74,,6.1,,,15.1,11.47,8.56,14.8,9.0,11.32,,6.82,10.02,13.5,8.42,10.6,,9.43,15.1,10.02,9.87,11.9,10.16,,7.55,9.0,,16.11,-36.0,108.0
8,US-AK,US,United States,Alaska,US-AK,2020-04-27,8.94,5.96,,,10.43,,8.34,,,15.35,7.75,9.98,15.35,9.09,12.96,,12.66,9.68,18.03,9.24,12.66,6.26,,6.26,7.45,12.22,6.7,9.24,10.58,6.41,8.34,8.79,12.51,12.66,7.9,6.55,11.32,14.3,9.98,5.96,13.11,7.9,,10.73,9.53,8.79,12.51,7.45,12.22,7.9,7.0,8.04,6.85,9.68,,10.43,10.58,5.96,9.68,8.64,12.07,8.34,10.43,10.43,,11.47,,10.13,14.9,10.73,7.75,10.88,12.96,13.56,6.85,8.34,11.32,11.32,12.22,8.49,10.13,11.62,11.77,10.43,11.17,9.38,18.18,12.81,12.07,,8.64,7.15,12.81,,7.6,,6.11,10.13,9.98,7.6,13.56,8.94,7.6,,6.85,13.86,15.05,7.45,7.3,7.75,10.43,12.22,14.9,12.07,8.79,11.17,7.0,12.81,9.83,,13.86,0.0,0.0
9,US-AK,US,United States,Alaska,US-AK,2020-05-04,10.22,,7.52,,10.38,,7.67,,,13.08,6.92,,13.08,9.47,13.23,10.68,10.07,7.82,9.93,9.02,12.48,8.42,,,8.12,7.22,7.82,7.07,7.52,8.57,6.62,9.02,11.73,12.63,9.62,9.77,12.03,10.98,12.03,8.72,7.82,9.02,,10.53,9.02,11.43,12.78,12.93,10.22,,,7.67,7.82,8.72,,14.74,9.77,7.52,6.32,8.42,8.72,,12.93,13.98,,10.68,,13.08,11.28,11.43,6.01,11.88,8.27,7.07,9.02,6.17,7.67,9.62,8.87,11.73,10.22,10.53,13.23,9.77,7.52,14.29,25.11,8.72,11.73,,7.97,,10.83,,7.07,6.17,10.83,13.83,13.23,8.27,11.88,7.97,10.83,,13.83,8.87,9.32,7.22,8.57,8.27,8.27,8.42,11.88,16.69,10.38,13.08,,13.53,10.53,,16.09,0.0,0.0
